特征名称,回归系数,项,值
MedInc,0.8411511433905893,,
AveRooms,-0.06718066561962288,,
HouseAge,0.2117101321493925,,
,,,
,,截距,2.068558169089147
,,MSE,0.6496608827746702
,,RMSE,0.8060154358166288
,,R²,0.5121018839958533
,,交叉验证均值R²,0.4593467712230396
